Epoch,learning rate,training loss,training energy RMSE (per atom),training energy MAE (per atom),training forces RMSE,training forces MAE,validation loss,validation energy RMSE (per atom),validation energy MAE (per atom),validation forces RMSE,validation forces MAE
,,,meV,meV,meV/A,meV/A,,meV,meV,meV/A,meV/A
   0,0.000e+00,1.369e+01,208.99,207.32,140.46,78.542,2.073e+00,208.45,206.53,441.58,84.362
   1,2.000e-06,6.432e+00, 99.34, 83.68,143.55,83.527,1.558e+00, 37.69, 29.15,445.27,88.730
   2,4.000e-06,4.122e+00, 19.98, 15.78,138.88,78.516,1.531e+00, 27.61, 13.50,443.42,82.168
   3,6.000e-06,3.808e+00, 14.49, 11.33,135.26,75.425,1.518e+00, 25.95, 12.03,441.96,80.118
   4,8.000e-06,3.698e+00, 12.82, 10.23,132.70,73.750,1.506e+00, 24.74, 11.31,440.51,78.551
   5,1.000e-05,3.626e+00, 12.03,  9.49,130.24,72.129,1.496e+00, 23.94, 10.64,439.40,77.061
   6,1.000e-05,3.457e+00, 11.60,  8.91,128.43,70.853,1.489e+00, 23.59, 10.21,438.55,75.963
   7,1.000e-05,3.407e+00, 11.26,  8.59,126.84,69.838,1.485e+00, 23.63,  9.85,438.04,75.033
   8,1.000e-05,3.316e+00, 11.02,  8.32,125.54,69.067,1.479e+00, 23.11, 10.05,437.34,74.274
   9,1.000e-05,3.289e+00, 10.76,  8.12,124.41,68.286,1.475e+00, 22.86,  9.94,436.71,73.800
  10,1.000e-05,3.204e+00, 10.59,  7.98,123.46,67.780,1.471e+00, 22.87,  9.39,436.29,73.178
  11,1.000e-05,3.202e+00, 10.48,  7.91,122.59,67.242,1.468e+00, 22.91,  9.15,435.89,72.734
  12,1.000e-05,3.077e+00, 10.28,  7.75,121.81,66.792,1.465e+00, 22.51,  9.26,435.42,72.417
  13,1.000e-05,3.080e+00, 10.21,  7.69,121.06,66.369,1.463e+00, 22.72,  8.89,435.13,71.954
  14,1.000e-05,3.089e+00, 10.16,  7.59,120.47,66.088,1.460e+00, 22.48,  9.91,434.73,71.647
  15,1.000e-05,3.033e+00, 10.22,  7.66,119.85,65.759,1.458e+00, 22.59,  8.69,434.42,71.489
  16,1.000e-05,3.011e+00, 10.02,  7.51,119.28,65.429,1.455e+00, 22.48, 10.01,434.02,71.171
  17,1.000e-05,2.902e+00, 10.16,  7.54,118.72,65.267,1.454e+00, 22.54, 10.37,433.97,70.956
  18,1.000e-05,2.929e+00,  9.90,  7.40,118.23,64.899,1.452e+00, 22.55,  8.63,433.65,70.624
  19,1.000e-05,2.902e+00,  9.90,  7.37,117.72,64.654,1.450e+00, 22.77,  8.76,433.30,70.528
  20,1.000e-05,2.881e+00,  9.97,  7.46,117.30,64.431,1.450e+00, 22.68,  8.57,433.36,70.196
  21,1.000e-05,2.922e+00,  9.87,  7.33,116.88,64.323,1.447e+00, 22.40,  8.63,432.98,69.949
  22,1.000e-05,2.797e+00,  9.92,  7.35,116.48,64.125,1.445e+00, 22.25,  9.00,432.78,69.747
  23,1.000e-05,2.775e+00,  9.80,  7.24,116.10,63.909,1.444e+00, 22.38,  9.65,432.59,69.614
  24,1.000e-05,2.850e+00,  9.88,  7.31,115.76,63.730,1.443e+00, 22.37,  8.79,432.44,69.530
  25,1.000e-05,2.776e+00,  9.89,  7.28,115.37,63.492,1.441e+00, 22.43,  8.96,432.19,69.279
  26,1.000e-05,2.758e+00,  9.88,  7.30,115.05,63.304,1.441e+00, 22.78,  8.37,432.19,69.229
  27,1.000e-05,2.806e+00,  9.78,  7.25,114.75,63.244,1.440e+00, 23.15,  8.73,432.10,69.043
  28,1.000e-05,2.765e+00,  9.81,  7.22,114.44,63.071,1.439e+00, 22.32,  9.56,432.07,68.945
  29,1.000e-05,2.741e+00,  9.65,  7.08,114.20,62.940,1.436e+00, 22.44,  8.87,431.59,68.781
  30,1.000e-05,2.752e+00,  9.78,  7.21,113.87,62.785,1.437e+00, 22.32,  8.63,431.69,68.677
  31,1.000e-05,2.706e+00,  9.59,  6.98,113.61,62.634,1.435e+00, 23.12, 12.04,431.35,68.653
  32,1.000e-05,2.718e+00,  9.84,  7.21,113.30,62.507,1.436e+00, 22.98,  8.38,431.59,68.604
  33,1.000e-05,2.685e+00,  9.60,  7.06,113.11,62.458,1.435e+00, 22.64, 10.64,431.46,68.275
  34,1.000e-05,2.696e+00,  9.68,  7.15,112.90,62.285,1.436e+00, 23.21,  8.69,431.47,68.299
  35,1.000e-05,2.619e+00,  9.68,  7.08,112.65,62.172,1.436e+00, 22.73,  8.25,431.60,68.181
  36,1.000e-05,2.725e+00,  9.64,  7.02,112.43,62.142,1.432e+00, 22.48,  8.61,431.01,68.106
  37,1.000e-05,2.660e+00,  9.64,  7.04,112.21,62.025,1.432e+00, 22.23,  9.15,431.14,67.883
  38,1.000e-05,2.671e+00,  9.64,  7.01,112.01,61.955,1.433e+00, 22.65,  8.31,431.29,67.796
  39,1.000e-05,2.650e+00,  9.78,  7.09,111.81,61.856,1.434e+00, 23.30,  8.82,431.28,67.839
  40,1.000e-05,2.617e+00,  9.79,  7.10,111.61,61.796,1.433e+00, 22.28,  8.89,431.35,67.695
  41,1.000e-05,2.581e+00,  9.80,  7.15,111.37,61.540,1.432e+00, 22.27,  8.57,431.28,67.591
  42,1.000e-05,2.579e+00,  9.82,  7.15,111.29,61.515,1.432e+00, 22.43,  9.75,431.16,67.491
  43,1.000e-05,2.644e+00,  9.74,  7.11,111.10,61.501,1.431e+00, 22.34,  8.87,431.15,67.405
  44,1.000e-05,2.584e+00,  9.50,  6.93,110.93,61.307,1.432e+00, 22.19,  8.65,431.20,67.383
  45,1.000e-05,2.577e+00,  9.68,  7.01,110.70,61.205,1.432e+00, 22.25,  8.73,431.23,67.317
  46,1.000e-05,2.560e+00,  9.50,  6.94,110.59,61.106,1.433e+00, 23.17,  8.58,431.26,67.243
  47,1.000e-05,2.576e+00,  9.47,  6.88,110.45,61.113,1.432e+00, 22.37,  8.35,431.25,67.301
  48,1.000e-05,2.578e+00,  9.58,  6.91,110.28,61.007,1.431e+00, 22.53,  8.42,431.03,67.175
  49,1.000e-05,2.557e+00,  9.38,  6.78,110.14,60.948,1.432e+00, 22.34,  8.56,431.24,67.102
  50,1.000e-05,2.528e+00,  9.49,  6.86,110.01,60.921,1.433e+00, 23.15,  8.45,431.40,67.057
  51,1.000e-05,2.523e+00,  9.43,  6.83,109.87,60.832,1.433e+00, 23.04,  8.32,431.39,67.035
  52,1.000e-05,2.517e+00,  9.43,  6.85,109.70,60.751,1.431e+00, 22.28,  8.60,431.19,66.885
  53,1.000e-05,2.557e+00,  9.60,  6.99,109.59,60.732,1.430e+00, 22.19,  8.49,431.10,66.823
  54,1.000e-05,2.491e+00,  9.49,  6.88,109.48,60.617,1.431e+00, 22.50, 10.34,431.17,66.861
  55,1.000e-05,2.502e+00,  9.62,  6.92,109.34,60.514,1.434e+00, 22.31,  8.87,431.57,66.812
  56,1.000e-05,2.502e+00,  9.44,  6.86,109.22,60.546,1.432e+00, 22.33,  8.33,431.36,66.693
  57,1.000e-05,2.475e+00,  9.59,  6.96,108.99,60.368,1.432e+00, 22.29,  9.05,431.43,66.773
  58,1.000e-05,2.505e+00,  9.41,  6.85,108.90,60.392,1.435e+00, 23.76,  9.56,431.66,66.575
  59,1.000e-05,2.471e+00,  9.61,  6.96,108.80,60.346,1.432e+00, 22.30,  8.30,431.45,66.549
  60,1.000e-05,2.517e+00,  9.40,  6.79,108.73,60.312,1.433e+00, 23.14,  8.51,431.54,66.611
  61,1.000e-05,2.462e+00,  9.41,  6.81,108.65,60.222,1.434e+00, 22.31,  9.34,431.71,66.544
  62,1.000e-05,2.446e+00,  9.31,  6.75,108.39,60.132,1.434e+00, 22.25,  8.94,431.74,66.445
  63,1.000e-05,2.513e+00,  9.73,  7.08,108.39,60.128,1.435e+00, 22.20,  8.40,431.93,66.386
  64,1.000e-05,2.432e+00,  9.33,  6.74,108.27,59.944,1.434e+00, 22.29,  8.48,431.84,66.306
  65,1.000e-05,2.474e+00,  9.47,  6.84,108.18,59.987,1.436e+00, 22.59, 10.54,432.00,66.273
  66,1.000e-05,2.444e+00,  9.41,  6.78,107.99,59.863,1.436e+00, 22.12,  8.80,432.07,66.176
  67,1.000e-05,2.518e+00,  9.65,  6.95,107.90,59.780,1.437e+00, 22.50,  8.00,432.20,66.164
  68,1.000e-05,2.452e+00,  9.34,  6.73,107.88,59.876,1.437e+00, 22.31,  9.87,432.35,66.140
  69,1.000e-05,2.488e+00,  9.44,  6.77,107.78,59.794,1.437e+00, 22.54,  7.98,432.30,66.067
  70,1.000e-05,2.436e+00,  9.42,  6.80,107.63,59.671,1.437e+00, 22.21,  8.45,432.38,65.998
  71,1.000e-05,2.464e+00,  9.51,  6.84,107.51,59.656,1.438e+00, 22.55,  8.24,432.43,66.046
  72,1.000e-05,2.425e+00,  9.36,  6.71,107.41,59.616,1.440e+00, 22.53,  8.17,432.81,65.917
  73,1.000e-05,2.452e+00,  9.41,  6.78,107.38,59.658,1.439e+00, 22.43,  8.18,432.66,65.872
  74,1.000e-05,2.455e+00,  9.44,  6.82,107.30,59.528,1.439e+00, 22.16,  8.91,432.62,65.824
  75,1.000e-05,2.434e+00,  9.38,  6.76,107.12,59.407,1.443e+00, 23.86,  9.66,433.08,65.922
  76,1.000e-05,2.391e+00,  9.31,  6.75,107.08,59.458,1.440e+00, 22.50,  7.96,432.87,65.834
  77,1.000e-05,2.407e+00,  9.27,  6.67,106.95,59.358,1.438e+00, 22.15,  8.84,432.48,65.720
  78,1.000e-05,2.391e+00,  9.45,  6.82,106.89,59.335,1.441e+00, 22.26,  8.46,432.96,65.676
  79,1.000e-05,2.418e+00,  9.22,  6.63,106.71,59.301,1.442e+00, 22.26,  8.29,433.09,65.722
  80,1.000e-05,2.399e+00,  9.19,  6.55,106.67,59.238,1.441e+00, 22.28,  8.39,433.08,65.651
  81,1.000e-05,2.381e+00,  9.33,  6.70,106.64,59.208,1.443e+00, 22.39,  8.21,433.36,65.594
  82,1.000e-05,2.368e+00,  9.43,  6.86,106.49,59.180,1.443e+00, 22.25,  8.22,433.33,65.552
  83,1.000e-05,2.366e+00,  9.35,  6.73,106.47,59.139,1.444e+00, 22.12,  8.68,433.45,65.521
  84,1.000e-05,2.341e+00,  9.28,  6.68,106.37,59.088,1.446e+00, 22.70,  8.10,433.76,65.630
  85,1.000e-05,2.381e+00,  9.13,  6.56,106.27,59.051,1.444e+00, 22.11,  8.92,433.58,65.436
  86,1.000e-05,2.369e+00,  9.46,  6.80,106.14,59.010,1.445e+00, 22.96,  8.39,433.54,65.426
  87,1.000e-05,2.355e+00,  9.30,  6.70,106.10,58.926,1.446e+00, 22.04,  9.44,433.90,65.540
  88,1.000e-05,2.382e+00,  9.36,  6.69,106.04,58.950,1.447e+00, 22.63,  7.95,433.89,65.428
  89,1.000e-05,2.348e+00,  9.23,  6.65,105.91,58.873,1.447e+00, 22.15,  8.51,434.06,65.327
  90,1.000e-05,2.330e+00,  9.18,  6.60,105.81,58.819,1.448e+00, 22.68,  8.00,434.04,65.375
  91,1.000e-05,2.315e+00,  9.31,  6.75,105.79,58.747,1.448e+00, 22.28,  8.57,434.13,65.515
  92,1.000e-05,2.308e+00,  9.39,  6.75,105.71,58.729,1.449e+00, 22.30,  8.40,434.38,65.255
  93,1.000e-05,2.326e+00,  9.18,  6.59,105.68,58.800,1.450e+00, 22.69,  7.97,434.51,65.214
  94,1.000e-05,2.374e+00,  9.30,  6.68,105.59,58.655,1.450e+00, 22.01,  8.60,434.46,65.230
  95,1.000e-05,2.354e+00,  9.31,  6.69,105.49,58.654,1.449e+00, 22.13,  8.43,434.41,65.333
  96,1.000e-05,2.316e+00,  9.10,  6.52,105.44,58.642,1.452e+00, 22.49, 10.04,434.86,65.143
  97,1.000e-05,2.299e+00,  9.33,  6.70,105.32,58.528,1.453e+00, 22.12,  8.97,434.91,65.091
  98,1.000e-05,2.327e+00,  9.07,  6.48,105.26,58.543,1.453e+00, 22.47,  8.16,435.00,65.069
  99,1.000e-05,2.313e+00,  9.13,  6.50,105.20,58.453,1.452e+00, 22.23,  8.90,434.78,65.031
 100,1.000e-05,2.322e+00,  9.30,  6.72,105.18,58.472,1.455e+00, 23.02,  8.47,435.16,65.112
 101,1.000e-05,2.324e+00,  9.43,  6.73,105.13,58.436,1.453e+00, 22.34, 10.01,435.07,65.084
 102,1.000e-05,2.331e+00,  9.29,  6.69,105.04,58.445,1.456e+00, 22.61,  8.02,435.46,65.028
 103,1.000e-05,2.327e+00,  9.26,  6.64,104.94,58.370,1.456e+00, 22.39,  8.25,435.53,64.902
 104,1.000e-05,2.297e+00,  9.20,  6.67,104.88,58.337,1.456e+00, 22.39,  8.03,435.51,64.875
 105,1.000e-05,2.312e+00,  9.27,  6.66,104.82,58.306,1.456e+00, 22.23,  9.36,435.50,65.020
 106,1.000e-05,2.297e+00,  9.14,  6.56,104.80,58.297,1.456e+00, 22.08,  8.09,435.50,64.993
 107,1.000e-05,2.268e+00,  9.22,  6.65,104.66,58.299,1.458e+00, 22.02,  8.27,435.83,64.828
 108,1.000e-05,2.291e+00,  9.16,  6.52,104.56,58.173,1.458e+00, 22.07,  8.59,435.92,64.770
 109,1.000e-05,2.317e+00,  9.12,  6.56,104.54,58.154,1.459e+00, 22.13,  9.50,435.96,64.758
 110,1.000e-05,2.271e+00,  9.29,  6.64,104.47,58.138,1.461e+00, 22.22,  8.12,436.31,64.800
 111,1.000e-05,2.302e+00,  9.27,  6.60,104.38,58.077,1.462e+00, 22.15,  8.86,436.40,64.790
 112,1.000e-05,2.311e+00,  9.23,  6.68,104.40,58.123,1.462e+00, 22.00,  8.62,436.49,64.703
 113,1.000e-05,2.328e+00,  9.15,  6.59,104.26,57.989,1.463e+00, 22.08,  7.89,436.64,64.716
 114,1.000e-05,2.312e+00,  9.20,  6.57,104.24,58.075,1.465e+00, 22.04,  8.04,437.02,64.735
 115,1.000e-05,2.266e+00,  9.11,  6.53,104.19,57.902,1.463e+00, 22.07,  8.42,436.67,64.857
 116,1.000e-05,2.299e+00,  9.17,  6.58,104.10,58.008,1.465e+00, 22.20,  8.06,436.92,64.751
 117,1.000e-05,2.302e+00,  9.24,  6.61,104.03,57.923,1.466e+00, 22.79,  8.10,437.10,64.578
 118,1.000e-05,2.310e+00,  9.12,  6.59,103.98,57.969,1.466e+00, 22.30,  7.75,437.13,64.649
 119,1.000e-05,2.244e+00,  9.28,  6.65,103.94,57.888,1.467e+00, 22.46,  8.03,437.29,64.597
 120,1.000e-05,2.265e+00,  9.33,  6.68,103.89,57.853,1.469e+00, 22.49,  7.80,437.50,64.606
 121,1.000e-05,2.276e+00,  9.23,  6.60,103.82,57.836,1.468e+00, 22.11,  8.35,437.38,64.666
 122,1.000e-05,2.239e+00,  9.14,  6.59,103.77,57.869,1.469e+00, 22.14,  8.22,437.55,64.693
 123,1.000e-05,2.227e+00,  9.24,  6.62,103.65,57.737,1.472e+00, 23.14,  8.48,437.97,64.548
 124,1.000e-05,2.254e+00,  9.06,  6.47,103.62,57.749,1.471e+00, 22.27,  7.98,437.94,64.448
 125,1.000e-05,2.260e+00,  9.01,  6.40,103.59,57.720,1.471e+00, 21.92,  8.46,438.00,64.456
 126,1.000e-05,2.228e+00,  9.32,  6.62,103.49,57.662,1.472e+00, 22.12,  8.24,438.05,64.837
 127,1.000e-05,2.214e+00,  9.41,  6.81,103.47,57.633,1.474e+00, 22.59,  7.90,438.38,64.497
 128,1.000e-05,2.287e+00,  9.28,  6.69,103.34,57.604,1.475e+00, 22.15,  8.21,438.48,64.459
 129,1.000e-05,2.236e+00,  8.98,  6.42,103.34,57.565,1.476e+00, 22.08,  8.23,438.71,64.403
 130,1.000e-05,2.235e+00,  9.22,  6.61,103.32,57.578,1.476e+00, 22.21,  7.95,438.66,64.434
 131,1.000e-05,2.229e+00,  8.96,  6.40,103.25,57.537,1.478e+00, 22.13,  8.04,438.96,64.341
 132,1.000e-05,2.230e+00,  9.07,  6.43,103.14,57.502,1.478e+00, 22.70,  7.92,439.02,64.319
 133,1.000e-05,2.236e+00,  9.31,  6.68,103.14,57.515,1.477e+00, 22.23,  7.74,438.90,64.404
 134,1.000e-05,2.211e+00,  9.13,  6.53,103.13,57.418,1.478e+00, 22.28,  7.95,439.06,64.295
 135,1.000e-05,2.234e+00,  8.99,  6.38,103.05,57.433,1.479e+00, 22.33,  7.87,439.15,64.202
 136,1.000e-05,2.258e+00,  8.95,  6.40,102.95,57.482,1.479e+00, 22.06,  9.41,439.20,64.255
 137,1.000e-05,2.231e+00,  9.09,  6.49,102.91,57.402,1.479e+00, 22.15,  7.91,439.22,64.301
 138,1.000e-05,2.224e+00,  9.08,  6.46,102.88,57.385,1.482e+00, 22.47, 10.67,439.58,64.417
 139,1.000e-05,2.198e+00,  9.21,  6.63,102.77,57.362,1.481e+00, 22.03,  7.92,439.44,64.215
 140,1.000e-05,2.234e+00,  9.12,  6.49,102.76,57.316,1.483e+00, 22.03,  9.20,439.84,64.165
 141,1.000e-05,2.208e+00,  9.02,  6.38,102.76,57.387,1.483e+00, 22.38, 10.84,439.74,64.192
 142,1.000e-05,2.266e+00,  9.40,  6.81,102.72,57.267,1.484e+00, 22.07,  9.37,439.96,64.238
 143,1.000e-05,2.189e+00,  9.13,  6.51,102.61,57.288,1.485e+00, 21.88,  8.08,440.16,64.227
 144,1.000e-05,2.225e+00,  9.05,  6.43,102.57,57.233,1.486e+00, 21.85,  8.72,440.33,64.103
 145,1.000e-05,2.182e+00,  9.05,  6.43,102.47,57.185,1.486e+00, 22.04,  8.41,440.30,64.196
 146,1.000e-05,2.241e+00,  9.35,  6.68,102.41,57.174,1.488e+00, 22.00,  8.15,440.63,64.139
 147,1.000e-05,2.192e+00,  9.02,  6.38,102.44,57.227,1.488e+00, 22.34,  7.96,440.55,64.036
 148,1.000e-05,2.185e+00,  9.28,  6.64,102.35,57.138,1.488e+00, 21.95,  8.01,440.68,64.134
 149,1.000e-05,2.223e+00,  8.79,  6.22,102.30,57.091,1.489e+00, 21.99,  8.90,440.82,64.105
 150,1.000e-05,2.182e+00,  9.07,  6.44,102.30,57.084,1.490e+00, 22.07,  8.06,440.88,64.024
 151,1.000e-05,2.199e+00,  9.19,  6.54,102.27,57.112,1.492e+00, 22.70,  7.98,441.24,64.112
 152,1.000e-05,2.191e+00,  9.14,  6.49,102.18,57.081,1.492e+00, 22.30,  7.61,441.17,63.984
 153,1.000e-05,2.143e+00,  8.92,  6.35,102.09,57.035,1.493e+00, 22.31,  7.55,441.35,64.185
 154,1.000e-05,2.214e+00,  9.15,  6.54,102.12,57.053,1.493e+00, 22.20,  7.84,441.41,63.972
 155,1.000e-05,2.215e+00,  9.08,  6.43,102.12,57.021,1.494e+00, 21.94,  8.39,441.65,63.925
 156,1.000e-05,2.176e+00,  8.75,  6.19,102.03,56.926,1.495e+00, 22.05,  8.05,441.64,64.450
 157,1.000e-05,2.187e+00,  9.10,  6.47,101.99,56.951,1.495e+00, 21.99,  8.14,441.75,63.934
 158,1.000e-05,2.201e+00,  8.85,  6.27,101.94,56.952,1.496e+00, 22.23,  7.79,441.87,63.987
 159,1.000e-05,2.216e+00,  8.98,  6.39,101.86,56.919,1.496e+00, 22.14,  7.81,441.83,64.061
 160,1.000e-05,2.175e+00,  9.12,  6.48,101.79,56.870,1.497e+00, 22.07,  8.01,442.09,63.904
 161,1.000e-05,2.137e+00,  9.07,  6.51,101.75,56.872,1.498e+00, 21.99,  8.23,442.22,63.985
 162,1.000e-05,2.168e+00,  8.93,  6.31,101.74,56.877,1.499e+00, 22.02,  8.20,442.39,64.002
 163,1.000e-05,2.155e+00,  9.21,  6.55,101.70,56.809,1.501e+00, 22.03,  8.72,442.61,63.856
 164,1.000e-05,2.198e+00,  9.11,  6.45,101.69,56.737,1.500e+00, 21.86,  8.13,442.52,63.962
 165,1.000e-05,2.220e+00,  8.91,  6.27,101.65,56.769,1.503e+00, 22.83,  7.95,442.82,63.895
 166,1.000e-05,2.173e+00,  9.25,  6.54,101.56,56.726,1.503e+00, 22.73,  7.92,442.90,63.834
 167,1.000e-05,2.203e+00,  8.97,  6.37,101.59,56.789,1.504e+00, 22.17,  7.46,443.06,63.864
 168,1.000e-05,2.170e+00,  8.97,  6.37,101.47,56.701,1.504e+00, 21.88,  9.08,443.09,63.809
 169,1.000e-05,2.081e+00,  9.09,  6.48,101.41,56.694,1.505e+00, 22.19,  7.45,443.33,63.801
 170,1.000e-05,2.167e+00,  8.85,  6.30,101.40,56.710,1.505e+00, 22.12,  7.68,443.34,63.778
 171,1.000e-05,2.156e+00,  8.96,  6.36,101.35,56.671,1.505e+00, 22.04,  8.62,443.35,63.683
 172,1.000e-05,2.183e+00,  9.28,  6.66,101.34,56.726,1.507e+00, 22.40,  7.65,443.50,63.687
 173,1.000e-05,2.104e+00,  9.08,  6.50,101.31,56.635,1.508e+00, 21.93,  7.91,443.69,63.716
 174,1.000e-05,2.139e+00,  9.07,  6.44,101.22,56.536,1.508e+00, 22.13,  9.64,443.67,63.807
 175,1.000e-05,2.181e+00,  9.12,  6.48,101.17,56.554,1.508e+00, 22.07,  7.79,443.71,63.775
 176,1.000e-05,2.116e+00,  8.96,  6.36,101.09,56.564,1.508e+00, 22.04,  9.19,443.74,63.736
 177,1.000e-05,2.151e+00,  9.04,  6.46,101.17,56.564,1.509e+00, 21.85,  8.11,443.94,63.650
 178,1.000e-05,2.168e+00,  8.95,  6.32,101.05,56.503,1.509e+00, 22.84,  8.12,443.90,63.821
